event_id,round,player1_user_id,player1_army,player1_game_primary_points,player1_game_number,player1_game_points,player1_game_result,player1_game_result_cat,player1_game_margin_of_victory,player2_user_id,player2_army,player2_game_primary_points,player2_game_number,player2_game_points,player2_game_result,player2_game_result_cat,player2_game_margin_of_victory
iijomHcUnO,4,psmf8I4OQ8,Ork Kommandos,6.0,4.0,17.0,2.0,win,15.0,QXTTvp88U6,Ork Kommandos,1.0,4.0,2.0,0.0,loss,-15.0
N7vbkGpnlI,1,w4JtiCGb6k,Corsair Voidscarred,4.0,1.0,14.0,2.0,win,7.0,QYJTB1CQQ8,Warp Coven,1.0,1.0,7.0,0.0,loss,-7.0
N7vbkGpnlI,1,MVAG229F6M,Veteran Guardsmen,6.0,1.0,17.0,2.0,win,9.0,4WVtVfBx6t,Pathfinders,3.0,1.0,8.0,0.0,loss,-9.0
N7vbkGpnlI,1,rwuwitOP6l,Pathfinders,6.0,1.0,18.0,2.0,win,15.0,scg8DNHdQt,Genestealer Cults,0.0,1.0,3.0,0.0,loss,-15.0
N7vbkGpnlI,1,XFm8KVgvi9,Adepta Sororitas,0.0,1.0,2.0,0.0,loss,-12.0,KDPP0D5E4E,Pathfinders,6.0,1.0,14.0,2.0,win,12.0
N7vbkGpnlI,1,uUSAimgRXm,Death Guard,5.0,1.0,13.0,2.0,win,6.0,pOgAWYhRuP,Troupe,3.0,1.0,7.0,0.0,loss,-6.0
N7vbkGpnlI,1,0RStqEkvCq,Ork Kommandos,5.0,1.0,16.0,2.0,win,13.0,PX93FK3WMU,Legionary,0.0,1.0,3.0,0.0,loss,-13.0
N7vbkGpnlI,1,KU3DX7DBL3,Deathwatch,4.0,1.0,10.0,2.0,win,5.0,0aJRP2h4nz,Hunter Clade,0.0,1.0,5.0,0.0,loss,-5.0
N7vbkGpnlI,1,2U2XEyWwmc,Phobos Strike Team,4.0,1.0,8.0,0.0,loss,-4.0,oGE3bhMn45,Legionary,3.0,1.0,12.0,2.0,win,4.0
N7vbkGpnlI,1,0KPGPP0L1U,Talons of the Emperor,1.0,1.0,6.0,0.0,loss,-8.0,x8FYBrEmnr,Legionary,4.0,1.0,14.0,2.0,win,8.0
N7vbkGpnlI,2,2U2XEyWwmc,Phobos Strike Team,5.0,2.0,13.0,2.0,win,1.0,pOgAWYhRuP,Troupe,5.0,2.0,12.0,0.0,loss,-1.0
N7vbkGpnlI,2,x8FYBrEmnr,Legionary,4.0,2.0,12.0,2.0,win,4.0,KU3DX7DBL3,Deathwatch,3.0,2.0,8.0,0.0,loss,-4.0
N7vbkGpnlI,2,PX93FK3WMU,Legionary,4.0,2.0,10.0,2.0,win,9.0,XFm8KVgvi9,Adepta Sororitas,0.0,2.0,1.0,0.0,loss,-9.0
N7vbkGpnlI,2,uUSAimgRXm,Death Guard,4.0,2.0,7.0,0.0,loss,-2.0,w4JtiCGb6k,Corsair Voidscarred,5.0,2.0,9.0,2.0,win,2.0
N7vbkGpnlI,2,0aJRP2h4nz,Hunter Clade,3.0,2.0,12.0,2.0,win,11.0,scg8DNHdQt,Genestealer Cults,0.0,2.0,1.0,0.0,loss,-11.0
N7vbkGpnlI,2,QYJTB1CQQ8,Warp Coven,4.0,2.0,12.0,2.0,win,3.0,0KPGPP0L1U,Talons of the Emperor,2.0,2.0,9.0,0.0,loss,-3.0
N7vbkGpnlI,2,oGE3bhMn45,Legionary,4.0,2.0,7.0,2.0,win,3.0,4WVtVfBx6t,Pathfinders,3.0,2.0,4.0,0.0,loss,-3.0
N7vbkGpnlI,2,rwuwitOP6l,Pathfinders,4.0,2.0,9.0,0.0,loss,-5.0,MVAG229F6M,Veteran Guardsmen,6.0,2.0,14.0,2.0,win,5.0
N7vbkGpnlI,2,KDPP0D5E4E,Pathfinders,5.0,2.0,16.0,2.0,win,3.0,0RStqEkvCq,Ork Kommandos,6.0,2.0,13.0,0.0,loss,-3.0
N7vbkGpnlI,3,scg8DNHdQt,Genestealer Cults,1.0,3.0,6.0,0.0,loss,-5.0,XFm8KVgvi9,Adepta Sororitas,4.0,3.0,11.0,2.0,win,5.0
N7vbkGpnlI,3,0aJRP2h4nz,Hunter Clade,4.0,3.0,14.0,2.0,win,9.0,pOgAWYhRuP,Troupe,1.0,3.0,5.0,0.0,loss,-9.0
N7vbkGpnlI,3,MVAG229F6M,Veteran Guardsmen,4.0,3.0,12.0,0.0,loss,-1.0,KDPP0D5E4E,Pathfinders,5.0,3.0,13.0,2.0,win,1.0
N7vbkGpnlI,3,4WVtVfBx6t,Pathfinders,6.0,3.0,11.0,0.0,loss,-4.0,0KPGPP0L1U,Talons of the Emperor,3.0,3.0,15.0,2.0,win,4.0
N7vbkGpnlI,3,rwuwitOP6l,Pathfinders,6.0,3.0,18.0,2.0,win,6.0,2U2XEyWwmc,Phobos Strike Team,6.0,3.0,12.0,0.0,loss,-6.0
N7vbkGpnlI,3,oGE3bhMn45,Legionary,2.0,3.0,4.0,0.0,loss,-12.0,0RStqEkvCq,Ork Kommandos,6.0,3.0,16.0,2.0,win,12.0
N7vbkGpnlI,3,w4JtiCGb6k,Corsair Voidscarred,6.0,3.0,13.0,2.0,win,5.0,x8FYBrEmnr,Legionary,5.0,3.0,8.0,0.0,loss,-5.0
N7vbkGpnlI,3,QYJTB1CQQ8,Warp Coven,6.0,3.0,18.0,2.0,win,16.0,PX93FK3WMU,Legionary,1.0,3.0,2.0,0.0,loss,-16.0
N7vbkGpnlI,3,uUSAimgRXm,Death Guard,2.0,3.0,3.0,0.0,loss,-15.0,KU3DX7DBL3,Deathwatch,6.0,3.0,18.0,2.0,win,15.0
N7vbkGpnlI,4,0KPGPP0L1U,Talons of the Emperor,0.0,4.0,0.0,0.0,loss,0.0,PX93FK3WMU,Legionary,0.0,4.0,0.0,0.0,loss,0.0
N7vbkGpnlI,4,0RStqEkvCq,Ork Kommandos,0.0,4.0,0.0,0.0,loss,0.0,rwuwitOP6l,Pathfinders,0.0,4.0,0.0,0.0,loss,0.0
N7vbkGpnlI,4,x8FYBrEmnr,Legionary,0.0,4.0,0.0,0.0,loss,0.0,QYJTB1CQQ8,Warp Coven,0.0,4.0,0.0,0.0,loss,0.0
N7vbkGpnlI,4,pOgAWYhRuP,Troupe,0.0,4.0,0.0,0.0,loss,0.0,scg8DNHdQt,Genestealer Cults,0.0,4.0,0.0,0.0,loss,0.0
N7vbkGpnlI,4,KDPP0D5E4E,Pathfinders,4.0,4.0,15.0,2.0,win,6.0,w4JtiCGb6k,Corsair Voidscarred,4.0,4.0,9.0,0.0,loss,-6.0
N7vbkGpnlI,4,XFm8KVgvi9,Adepta Sororitas,0.0,4.0,0.0,0.0,loss,0.0,4WVtVfBx6t,Pathfinders,0.0,4.0,0.0,0.0,loss,0.0
N7vbkGpnlI,4,MVAG229F6M,Veteran Guardsmen,0.0,4.0,0.0,0.0,loss,0.0,KU3DX7DBL3,Deathwatch,0.0,4.0,0.0,0.0,loss,0.0
N7vbkGpnlI,4,2U2XEyWwmc,Phobos Strike Team,0.0,4.0,0.0,0.0,loss,0.0,uUSAimgRXm,Death Guard,0.0,4.0,0.0,0.0,loss,0.0
N7vbkGpnlI,4,oGE3bhMn45,Legionary,0.0,4.0,0.0,0.0,loss,0.0,0aJRP2h4nz,Hunter Clade,0.0,4.0,0.0,0.0,loss,0.0
ZlV3qjcwni,1,Q03XAP3WCJ,Craftworld,1.0,1.0,4.0,0.0,loss,-14.0,1yznOsT5bN,Warp Coven,6.0,1.0,18.0,2.0,win,14.0
ZlV3qjcwni,1,ml5u4CD3G5,Phobos Strike Team,0.0,1.0,10.0,2.0,win,10.0,90KCK5NXAL,Commorite,0.0,1.0,0.0,0.0,loss,-10.0
ZlV3qjcwni,1,yDNCjZrzXa,Ork Kommandos,1.0,1.0,5.0,0.0,loss,-2.0,higUJeWtx9,Pathfinders,4.0,1.0,7.0,2.0,win,2.0
ZlV3qjcwni,2,Q03XAP3WCJ,Craftworld,0.0,2.0,10.0,2.0,win,10.0,90KCK5NXAL,Commorite,0.0,2.0,0.0,0.0,loss,-10.0
ZlV3qjcwni,2,1yznOsT5bN,Warp Coven,5.0,2.0,12.0,2.0,win,7.0,higUJeWtx9,Pathfinders,0.0,2.0,5.0,0.0,loss,-7.0
ZlV3qjcwni,2,ml5u4CD3G5,Phobos Strike Team,5.0,2.0,13.0,2.0,win,2.0,yDNCjZrzXa,Ork Kommandos,2.0,2.0,11.0,0.0,loss,-2.0
ZlV3qjcwni,3,higUJeWtx9,Pathfinders,6.0,3.0,16.0,2.0,win,10.0,Q03XAP3WCJ,Craftworld,1.0,3.0,6.0,0.0,loss,-10.0
ZlV3qjcwni,3,yDNCjZrzXa,Ork Kommandos,0.0,3.0,10.0,2.0,win,10.0,90KCK5NXAL,Commorite,0.0,3.0,0.0,0.0,loss,-10.0
ZlV3qjcwni,3,1yznOsT5bN,Warp Coven,2.0,3.0,7.0,1.0,tie,0.0,ml5u4CD3G5,Phobos Strike Team,4.0,3.0,7.0,1.0,tie,0.0
MBsb4A2M7l,1,9CR3yKHCLB,Hunter Clade,6.0,1.0,20.0,2.0,win,14.0,nL1NBigPLS,Novitiates,2.0,1.0,6.0,0.0,loss,-14.0
MBsb4A2M7l,1,MGJX4QD00D,Craftworld,6.0,1.0,20.0,2.0,win,11.0,LQ0W31783V,Tomb World,2.0,1.0,9.0,0.0,loss,-11.0
MBsb4A2M7l,1,EO47BN0Sx5,Legionary,2.0,1.0,16.0,2.0,win,9.0,8XWltGHC3Y,Adeptus Astartes,2.0,1.0,7.0,0.0,loss,-9.0
